record	parliament_year	estate	annotation	most_probable_line	lev	wer	cer
data/1867/prot_1867_borgare_I.xml	1867	borgare	Såsom en följd af de petitioner i ämnet, som landets expor-	 Såsom en följd af de petitioner i ämnet, som landets export	1	0.0909090936183929	0.0169491525423728
data/1867/prot_1867_borgare_I.xml	1867	borgare	kontrapropositionen var af ståndet antagen och således senare	 kontrapropositionen var af ständet antagen och säledes senare	2	0.25	0.0327868852459016
data/1867/prot_1867_borgare_I.xml	1867	borgare	ligen fäldt, njute rådrum att det föryttra eller för eget behof	ligen fäldt, njute rådrum att det föryttra eller för eget behof 	0	0.0	0.0
data/1867/prot_1867_borgare_I.xml	1867	borgare	använda under de första fjorton dagarne af fridlysningstiden	 använda under de första fjorton dagarne af fridlysningstiden	0	0.0	0.0
data/1867/prot_1867_praster_III.xml	1867	praster	Domprosten doktor Borg ansåg saken helt och hållet oprak-	 Domprosten doktor Borg ansåg saken helt och hållet oprakt	1	0.1111111119389534	0.0175438596491228
data/1867/prot_1867_praster_III.xml	1867	praster	skjutsandes hästar vara fullt ut lika tung som dubbelt tyngre vagn	 skjutsandes hästar vara fullt ut lika tung som dubbelt tyngre vagn	0	0.0	0.0
data/1867/prot_1867_praster_III.xml	1867	praster	framställd proposition, enhälligt enligt utskottets betänkande.	 framställd proposition, enhälligt enligt utskottets betänkande.	0	0.0	0.0
data/1867/prot_1867_praster_II.xml	1867	praster	brytaren skall underkastas åtminstone samma mått af lidande som	brytaren skall underkastas åtminstone samma mått af lidande som 	0	0.0	0.0
data/1867/prot_1867_praster_II.xml	1867	praster	som gör sinom nästa skada, honom skall man göra såsom han	 som gör sinom nästa skada, honom skall man göra såsom han	0	0.0	0.0
data/1867/prot_1867_praster_II.xml	1867	praster	men icke återvinnes det derigenom att ett annat förspilles. Icke	 men icke återvinnes det derigenom att ett annat förspilles. Icke	0	0.0	0.0
data/1867/prot_1867_praster_I.xml	1867	praster	icke deltagit i beslutet om arfvodesbeloppet, utan endast för upp-	 icke deltagit i beslutet om arfvodesbeloppet, utan endast för uppl	1	0.1000000014901161	0.0151515151515151
data/1867/prot_1867_praster_I.xml	1867	praster	Lampén kunde bestämmas arfvode till lika belopp som åt stiftets	 Lampön kunde bestämmas arfvode till lika belopp som ät stiftets	2	0.2000000029802322	0.0317460317460317
data/1867/prot_1867_praster_I.xml	1867	praster	På framställning af herr talemannen gillade ståndet enhälligt	 På framställning af herr talemannen gillade ståndet enhälligt	0	0.0	0.0
